date,time,humidity,label,type,delta_time
21-Apr-25,19:04:47,70.0,0,normal,999.0
21-Apr-25,19:05:18,66.0,0,normal,31.0
21-Apr-25,19:06:29,59.0,0,normal,71.0
21-Apr-25,19:07:24,52.0,0,normal,55.0
21-Apr-25,19:08:03,75.0,0,normal,39.0
21-Apr-25,19:08:39,52.0,0,normal,36.0
21-Apr-25,19:09:14,59.0,0,normal,35.0
21-Apr-25,19:10:12,73.0,0,normal,58.0
21-Apr-25,19:10:59,67.0,0,normal,47.0
21-Apr-25,19:11:38,55.0,0,normal,39.0
21-Apr-25,19:12:36,79.0,0,normal,58.0
21-Apr-25,19:13:34,43.0,0,normal,58.0
21-Apr-25,19:14:05,60.0,0,normal,31.0
21-Apr-25,19:15:04,54.0,0,normal,59.0
21-Apr-25,19:15:59,53.0,0,normal,55.0
21-Apr-25,19:16:39,75.0,0,normal,40.0
21-Apr-25,19:17:31,66.0,0,normal,52.0
21-Apr-25,19:18:09,57.0,0,normal,38.0
21-Apr-25,19:18:58,67.0,0,normal,49.0
21-Apr-25,19:19:57,59.0,0,normal,59.0
21-Apr-25,19:20:45,60.0,0,normal,48.0
21-Apr-25,19:21:39,73.0,0,normal,54.0
21-Apr-25,19:22:22,53.0,0,normal,43.0
21-Apr-25,19:23:16,78.0,0,normal,54.0
21-Apr-25,19:24:12,73.0,0,normal,56.0
21-Apr-25,19:24:42,62.0,0,normal,30.0
21-Apr-25,19:25:30,50.0,0,normal,48.0
21-Apr-25,19:26:20,55.0,0,normal,50.0
21-Apr-25,19:27:14,80.0,0,normal,54.0
21-Apr-25,19:28:11,71.0,0,normal,57.0
21-Apr-25,19:28:44,59.0,0,normal,33.0
21-Apr-25,19:29:19,64.0,0,normal,35.0
21-Apr-25,19:29:49,58.0,0,normal,30.0
21-Apr-25,19:30:33,50.0,0,normal,44.0
21-Apr-25,19:31:03,60.0,0,normal,30.0
21-Apr-25,19:31:50,78.0,0,normal,47.0
21-Apr-25,19:32:21,70.0,0,normal,31.0
21-Apr-25,19:33:08,48.0,0,normal,47.0
21-Apr-25,19:33:48,45.0,0,normal,40.0
21-Apr-25,19:34:24,65.0,0,normal,36.0
21-Apr-25,19:35:16,51.0,0,normal,52.0
21-Apr-25,19:35:50,52.0,0,normal,34.0
21-Apr-25,19:36:46,63.0,0,normal,56.0
21-Apr-25,19:37:32,65.0,0,normal,46.0
21-Apr-25,19:38:28,66.0,0,normal,56.0
21-Apr-25,19:38:59,55.0,0,normal,31.0
21-Apr-25,19:39:32,60.0,0,normal,33.0
21-Apr-25,19:40:31,45.0,0,normal,59.0
21-Apr-25,19:41:14,73.0,0,normal,43.0
21-Apr-25,19:42:13,79.0,0,normal,59.0
21-Apr-25,19:42:54,77.0,0,normal,41.0
21-Apr-25,19:43:35,69.0,0,normal,41.0
21-Apr-25,19:44:35,66.0,0,normal,60.0
21-Apr-25,19:45:08,53.0,0,normal,33.0
21-Apr-25,19:45:50,62.0,0,normal,42.0
21-Apr-25,19:46:47,72.0,0,normal,57.0
21-Apr-25,19:47:31,66.0,0,normal,44.0
21-Apr-25,19:48:31,67.0,0,normal,60.0
21-Apr-25,19:49:09,45.0,0,normal,38.0
21-Apr-25,19:49:46,79.0,0,normal,37.0
21-Apr-25,19:50:41,67.0,0,normal,55.0
21-Apr-25,19:51:22,48.0,0,normal,41.0
21-Apr-25,19:52:20,44.0,0,normal,58.0
21-Apr-25,19:53:03,58.0,0,normal,43.0
21-Apr-25,19:53:57,77.0,0,normal,54.0
21-Apr-25,19:54:35,50.0,0,normal,38.0
21-Apr-25,19:55:16,67.0,0,normal,41.0
21-Apr-25,19:55:59,57.0,0,normal,43.0
21-Apr-25,19:56:55,60.0,0,normal,56.0
21-Apr-25,19:57:34,43.0,0,normal,39.0
21-Apr-25,19:58:17,53.0,0,normal,43.0
21-Apr-25,19:59:15,46.0,0,normal,58.0
21-Apr-25,19:59:50,52.0,0,normal,35.0
21-Apr-25,20:00:25,50.0,0,normal,35.0
21-Apr-25,20:01:12,77.0,0,normal,47.0
21-Apr-25,20:01:54,50.0,0,normal,42.0
21-Apr-25,20:02:42,64.0,0,normal,48.0
21-Apr-25,20:03:37,73.0,0,normal,55.0
21-Apr-25,20:04:17,76.0,0,normal,40.0
21-Apr-25,20:04:59,50.0,0,normal,42.0
21-Apr-25,20:05:54,65.0,0,normal,55.0
21-Apr-25,20:06:54,62.0,0,normal,60.0
21-Apr-25,20:07:53,73.0,0,normal,59.0
21-Apr-25,20:08:33,68.0,0,normal,40.0
21-Apr-25,20:09:03,51.0,0,normal,30.0
21-Apr-25,20:09:45,78.0,0,normal,42.0
21-Apr-25,20:10:24,64.0,0,normal,39.0
21-Apr-25,20:11:18,44.0,0,normal,54.0
21-Apr-25,20:11:54,50.0,0,normal,36.0
21-Apr-25,20:12:38,74.0,0,normal,44.0
21-Apr-25,20:13:31,80.0,0,normal,53.0
21-Apr-25,20:14:23,48.0,0,normal,52.0
21-Apr-25,20:15:22,61.0,0,normal,59.0
21-Apr-25,20:16:10,56.0,0,normal,48.0
21-Apr-25,20:16:53,47.0,0,normal,43.0
21-Apr-25,20:17:41,42.0,0,normal,48.0
21-Apr-25,20:18:38,54.0,0,normal,57.0
21-Apr-25,20:19:25,43.0,0,normal,47.0
21-Apr-25,20:20:08,67.0,0,normal,43.0
21-Apr-25,20:20:56,45.0,0,normal,48.0
21-Apr-25,20:21:52,64.0,0,normal,56.0
21-Apr-25,20:22:33,43.0,0,normal,41.0
21-Apr-25,20:23:31,79.0,0,normal,58.0
21-Apr-25,20:24:07,77.0,0,normal,36.0
21-Apr-25,20:24:51,54.0,0,normal,44.0
21-Apr-25,20:25:33,54.0,0,normal,42.0
21-Apr-25,20:26:14,54.0,0,normal,41.0
21-Apr-25,20:27:03,42.0,0,normal,49.0
21-Apr-25,20:27:56,46.0,0,normal,53.0
21-Apr-25,20:28:42,66.0,0,normal,46.0
21-Apr-25,20:29:21,52.0,0,normal,39.0
21-Apr-25,20:30:15,42.0,0,normal,54.0
21-Apr-25,20:31:03,72.0,0,normal,48.0
