"@timestamp","alert.signature","event_type","mqtt.publish.topic","mqtt.publish.message","src_ip","mqtt.connect.client_id"
"Apr 28, 2025 @ 19:19:57.198","-",mqtt,"iot/sensor/humedad",80,"192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.196","-",mqtt,"iot/sensor/humedad",40,"192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.194","-",mqtt,"iot/sensor/humedad",80,"192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.193","-",mqtt,"iot/sensor/humedad",44,"192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.190","-",mqtt,"iot/sensor/humedad",64,"192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.188","-",mqtt,"iot/sensor/humedad",70,"192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.185","-",mqtt,"iot/sensor/humedad",49,"192.168.1.2","-"
"Apr 26, 2025 @ 05:13:34.001","-",mqtt,"iot/sensor/humedad",58,"192.168.1.2","-"
"Apr 26, 2025 @ 05:13:34.001","-",mqtt,"iot/sensor/humedad",58,"192.168.1.2","-"
"Apr 26, 2025 @ 05:12:41.977","-",mqtt,"iot/sensor/humedad",61,"192.168.1.2","-"
"Apr 26, 2025 @ 05:12:41.977","-",mqtt,"iot/sensor/humedad",61,"192.168.1.2","-"
"Apr 26, 2025 @ 05:12:10.963","-",mqtt,"iot/sensor/humedad",79,"192.168.1.2","-"
"Apr 26, 2025 @ 05:12:10.963","-",mqtt,"iot/sensor/humedad",79,"192.168.1.2","-"
"Apr 26, 2025 @ 05:11:35.946","-",mqtt,"iot/sensor/humedad",63,"192.168.1.2","-"
"Apr 26, 2025 @ 05:11:35.946","-",mqtt,"iot/sensor/humedad",63,"192.168.1.2","-"
"Apr 26, 2025 @ 05:10:47.922","-",mqtt,"iot/sensor/humedad",60,"192.168.1.2","-"
"Apr 26, 2025 @ 05:10:47.922","-",mqtt,"iot/sensor/humedad",60,"192.168.1.2","-"
"Apr 26, 2025 @ 05:09:52.899","-",mqtt,"iot/sensor/humedad",63,"192.168.1.2","-"
"Apr 26, 2025 @ 05:09:52.899","-",mqtt,"iot/sensor/humedad",63,"192.168.1.2","-"
"Apr 26, 2025 @ 05:08:57.878","-",mqtt,"iot/sensor/humedad",48,"192.168.1.2","-"
"Apr 26, 2025 @ 05:08:57.878","-",mqtt,"iot/sensor/humedad",48,"192.168.1.2","-"
"Apr 26, 2025 @ 05:07:59.854","-",mqtt,"iot/sensor/humedad",78,"192.168.1.2","-"
"Apr 26, 2025 @ 05:07:59.854","-",mqtt,"iot/sensor/humedad",78,"192.168.1.2","-"
"Apr 26, 2025 @ 05:07:14.837","-",mqtt,"iot/sensor/humedad",73,"192.168.1.2","-"
"Apr 26, 2025 @ 05:07:14.837","-",mqtt,"iot/sensor/humedad",73,"192.168.1.2","-"
"Apr 26, 2025 @ 05:06:23.819","-",mqtt,"iot/sensor/humedad",80,"192.168.1.2","-"
