"@timestamp","alert.signature","event_type","mqtt.publish.topic","mqtt.publish.message"
"Apr 25, 2025 @ 23:53:21.474","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:53:21.474","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:52:46.458","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:52:46.458","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:51:50.432","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:51:50.432","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:51:12.413","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:51:12.413","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:50:36.396","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:50:36.396","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:49:38.368","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:49:38.368","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:49:06.353","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:49:06.353","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:48:06.323","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:48:06.323","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:47:08.296","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:47:08.295","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:46:28.276","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:46:28.276","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:45:39.254","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:45:39.254","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:44:49.228","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:44:49.228","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:44:12.210","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:44:12.210","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:43:22.184","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:43:22.184","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:42:43.164","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:42:43.164","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:41:50.138","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:41:50.137","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:40:57.109","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:40:57.109","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:40:15.088","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:40:15.088","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:39:15.053","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:39:15.053","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:38:38.033","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:38:38.033","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:37:55.011","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:37:55.011","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:37:23.996","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:37:23.996","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:36:44.978","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:36:44.978","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:36:09.960","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:36:09.959","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:35:29.940","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:35:29.940","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:34:54.925","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:34:54.925","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:33:59.900","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:33:59.900","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:33:28.885","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:33:28.885","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:32:48.868","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:32:48.868","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:32:00.845","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:32:00.845","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:31:03.821","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:31:03.821","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:30:12.800","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:30:12.800","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:29:26.780","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:29:26.780","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:28:43.762","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:28:43.762","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:28:01.742","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:28:01.742","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:27:23.725","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:27:23.725","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:26:25.698","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:26:25.698","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:25:51.685","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:25:51.685","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:25:08.666","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:25:08.666","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:24:26.649","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:24:26.649","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:23:52.634","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:23:52.634","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:23:13.616","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:23:13.616","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:22:36.602","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:22:36.602","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:22:00.587","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:22:00.587","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:21:06.564","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:21:06.564","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:20:07.539","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:20:07.538","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:19:28.522","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:19:28.522","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:18:57.508","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:18:57.508","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:18:00.481","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:18:00.481","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:17:12.459","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:17:12.459","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:16:38.445","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:16:38.445","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:16:07.433","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:16:07.432","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:15:23.414","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:15:23.414","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:14:42.398","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:14:42.398","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:13:57.381","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:13:57.381","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:13:11.362","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:13:11.362","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:12:12.337","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:12:12.337","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:11:23.313","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:11:23.313","-",mqtt,"iot/sensor/movimiento",OFF
