door_state,label,type,hour,minute,second,delta_time,weekday,door_state_encoded
closed,0,normal,19,9,54,999.0,6,0
closed,0,normal,19,9,54,0.0,6,0
open,0,normal,19,10,1,7.0,6,1
open,0,normal,19,10,1,0.0,6,1
open,0,normal,19,10,9,8.0,6,1
open,0,normal,19,10,9,0.0,6,1
closed,0,normal,19,10,18,9.0,6,0
closed,0,normal,19,10,18,0.0,6,0
closed,0,normal,19,10,26,8.0,6,0
closed,0,normal,19,10,26,0.0,6,0
open,0,normal,19,10,34,8.0,6,1
open,0,normal,19,10,34,0.0,6,1
open,0,normal,19,20,12,578.0,6,1
open,0,normal,19,20,12,0.0,6,1
closed,0,normal,19,27,14,422.0,6,0
closed,0,normal,19,28,24,70.0,6,0
open,0,normal,19,30,53,149.0,6,1
open,0,normal,19,30,53,0.0,6,1
open,0,normal,19,32,23,90.0,6,1
open,0,normal,19,32,23,0.0,6,1
closed,0,normal,19,38,59,396.0,6,0
closed,0,normal,19,39,47,48.0,6,0
open,0,normal,22,11,29,9102.0,6,1
open,0,normal,22,11,29,0.0,6,1
open,0,normal,22,11,37,8.0,6,1
open,0,normal,22,11,37,0.0,6,1
closed,0,normal,22,11,45,8.0,6,0
closed,0,normal,22,11,45,0.0,6,0
closed,0,normal,22,11,53,8.0,6,0
closed,0,normal,22,11,53,0.0,6,0
closed,0,normal,22,12,1,8.0,6,0
closed,0,normal,22,12,1,0.0,6,0
open,0,normal,22,14,41,160.0,6,1
open,0,normal,22,14,41,0.0,6,1
open,0,normal,22,19,46,305.0,6,1
open,0,normal,22,20,14,28.0,6,1
open,0,normal,22,22,57,163.0,6,1
open,0,normal,22,22,57,0.0,6,1
closed,0,normal,22,26,36,219.0,6,0
closed,0,normal,22,29,37,181.0,6,0
open,0,normal,19,4,47,74110.0,0,1
open,0,normal,19,4,47,0.0,0,1
open,0,normal,19,5,18,31.0,0,1
open,0,normal,19,5,18,0.0,0,1
open,0,normal,19,7,24,126.0,0,1
open,0,normal,19,7,24,0.0,0,1
open,0,normal,19,8,3,39.0,0,1
open,0,normal,19,8,3,0.0,0,1
open,0,normal,19,14,1,358.0,0,1
open,0,normal,19,15,22,81.0,0,1
open,0,normal,22,2,29,10027.0,0,1
open,0,normal,22,3,12,43.0,0,1
open,0,normal,0,2,15,7143.0,1,1
open,0,normal,0,3,5,50.0,1,1
closed,0,normal,9,24,38,33693.0,1,0
closed,0,normal,9,24,38,0.0,1,0
open,0,normal,9,33,31,533.0,1,1
open,0,normal,9,33,31,0.0,1,1
open,0,normal,9,35,17,106.0,1,1
open,0,normal,9,35,17,0.0,1,1
open,0,normal,9,35,21,4.0,1,1
open,0,normal,9,35,21,0.0,1,1
open,0,normal,9,36,12,51.0,1,1
open,0,normal,9,36,17,5.0,1,1
closed,0,normal,11,49,19,7982.0,1,0
closed,0,normal,11,49,19,0.0,1,0
closed,0,normal,11,53,57,278.0,1,0
closed,0,normal,11,54,32,35.0,1,0
open,0,normal,14,5,57,7885.0,1,1
open,0,normal,14,5,57,0.0,1,1
closed,0,normal,14,6,4,7.0,1,0
closed,0,normal,14,6,4,0.0,1,0
closed,0,normal,14,6,12,8.0,1,0
closed,0,normal,14,6,12,0.0,1,0
closed,0,normal,14,6,20,8.0,1,0
closed,0,normal,14,6,20,0.0,1,0
closed,0,normal,14,6,25,5.0,1,0
closed,0,normal,14,6,25,0.0,1,0
