date,time,door_state,sphone_signal,label,type,hour,minute,second,delta_time
20-Apr-25,19:09:54,closed,0,0,normal,19,9,54,-1.0
20-Apr-25,19:09:54,closed,0,0,normal,19,9,54,0.0
20-Apr-25,19:10:01,open,0,0,normal,19,10,1,7.0
20-Apr-25,19:10:01,open,0,0,normal,19,10,1,0.0
20-Apr-25,19:10:09,open,0,0,normal,19,10,9,8.0
20-Apr-25,19:10:09,open,0,0,normal,19,10,9,0.0
20-Apr-25,19:10:18,closed,0,0,normal,19,10,18,9.0
20-Apr-25,19:10:18,closed,0,0,normal,19,10,18,0.0
20-Apr-25,19:10:26,closed,0,0,normal,19,10,26,8.0
20-Apr-25,19:10:26,closed,0,0,normal,19,10,26,0.0
20-Apr-25,19:10:34,open,0,0,normal,19,10,34,8.0
20-Apr-25,19:10:34,open,0,0,normal,19,10,34,0.0
20-Apr-25,19:20:12,open,0,0,normal,19,20,12,578.0
20-Apr-25,19:20:12,open,0,0,normal,19,20,12,0.0
20-Apr-25,19:27:14,closed,0,0,normal,19,27,14,422.0
20-Apr-25,19:28:24,closed,0,0,normal,19,28,24,70.0
20-Apr-25,19:30:53,open,0,0,normal,19,30,53,149.0
20-Apr-25,19:30:53,open,0,0,normal,19,30,53,0.0
20-Apr-25,19:32:23,open,0,0,normal,19,32,23,90.0
20-Apr-25,19:32:23,open,0,0,normal,19,32,23,0.0
20-Apr-25,19:38:59,closed,0,0,normal,19,38,59,396.0
20-Apr-25,19:39:47,closed,0,0,normal,19,39,47,48.0
20-Apr-25,22:11:29,open,0,0,normal,22,11,29,9102.0
20-Apr-25,22:11:29,open,0,0,normal,22,11,29,0.0
20-Apr-25,22:11:37,open,0,0,normal,22,11,37,8.0
20-Apr-25,22:11:37,open,0,0,normal,22,11,37,0.0
20-Apr-25,22:11:45,closed,0,0,normal,22,11,45,8.0
20-Apr-25,22:11:45,closed,0,0,normal,22,11,45,0.0
20-Apr-25,22:11:53,closed,0,0,normal,22,11,53,8.0
20-Apr-25,22:11:53,closed,0,0,normal,22,11,53,0.0
20-Apr-25,22:12:01,closed,0,0,normal,22,12,1,8.0
20-Apr-25,22:12:01,closed,0,0,normal,22,12,1,0.0
20-Apr-25,22:14:41,open,0,0,normal,22,14,41,160.0
20-Apr-25,22:14:41,open,0,0,normal,22,14,41,0.0
20-Apr-25,22:19:46,open,0,0,normal,22,19,46,305.0
20-Apr-25,22:20:14,open,0,0,normal,22,20,14,28.0
20-Apr-25,22:22:57,open,0,0,normal,22,22,57,163.0
20-Apr-25,22:22:57,open,0,0,normal,22,22,57,0.0
20-Apr-25,22:26:36,closed,0,0,normal,22,26,36,219.0
20-Apr-25,22:29:37,closed,0,0,normal,22,29,37,181.0
21-Apr-25,19:04:47,open,0,0,normal,19,4,47,74110.0
21-Apr-25,19:04:47,open,0,0,normal,19,4,47,0.0
21-Apr-25,19:05:18,open,0,0,normal,19,5,18,31.0
21-Apr-25,19:05:18,open,0,0,normal,19,5,18,0.0
21-Apr-25,19:07:24,open,0,0,normal,19,7,24,126.0
21-Apr-25,19:07:24,open,0,0,normal,19,7,24,0.0
21-Apr-25,19:08:03,open,0,0,normal,19,8,3,39.0
21-Apr-25,19:08:03,open,0,0,normal,19,8,3,0.0
21-Apr-25,19:14:01,open,0,0,normal,19,14,1,358.0
21-Apr-25,19:15:22,open,0,0,normal,19,15,22,81.0
21-Apr-25,22:02:29,open,0,0,normal,22,2,29,10027.0
21-Apr-25,22:03:12,open,0,0,normal,22,3,12,43.0
22-Apr-25,00:02:15,open,0,0,normal,0,2,15,7143.0
22-Apr-25,00:03:05,open,0,0,normal,0,3,5,50.0
22-Apr-25,09:24:38,closed,0,0,normal,9,24,38,33693.0
22-Apr-25,09:24:38,closed,0,0,normal,9,24,38,0.0
22-Apr-25,09:33:31,open,0,0,normal,9,33,31,533.0
22-Apr-25,09:33:31,open,0,0,normal,9,33,31,0.0
22-Apr-25,09:35:17,open,0,0,normal,9,35,17,106.0
22-Apr-25,09:35:17,open,0,0,normal,9,35,17,0.0
22-Apr-25,09:35:21,open,0,0,normal,9,35,21,4.0
22-Apr-25,09:35:21,open,0,0,normal,9,35,21,0.0
22-Apr-25,09:36:12,open,0,0,normal,9,36,12,51.0
22-Apr-25,09:36:17,open,0,0,normal,9,36,17,5.0
22-Apr-25,11:49:19,closed,0,0,normal,11,49,19,7982.0
22-Apr-25,11:49:19,closed,0,0,normal,11,49,19,0.0
22-Apr-25,11:53:57,closed,0,0,normal,11,53,57,278.0
22-Apr-25,11:54:32,closed,0,0,normal,11,54,32,35.0
22-Apr-25,14:05:57,open,0,0,normal,14,5,57,7885.0
22-Apr-25,14:05:57,open,0,0,normal,14,5,57,0.0
22-Apr-25,14:06:04,closed,0,0,normal,14,6,4,7.0
22-Apr-25,14:06:04,closed,0,0,normal,14,6,4,0.0
22-Apr-25,14:06:12,closed,0,0,normal,14,6,12,8.0
22-Apr-25,14:06:12,closed,0,0,normal,14,6,12,0.0
22-Apr-25,14:06:20,closed,0,0,normal,14,6,20,8.0
22-Apr-25,14:06:20,closed,0,0,normal,14,6,20,0.0
22-Apr-25,14:06:25,closed,0,0,normal,14,6,25,5.0
22-Apr-25,14:06:25,closed,0,0,normal,14,6,25,0.0
22-Apr-25,14:06:35,open,0,0,normal,14,6,35,10.0
22-Apr-25,14:06:35,open,0,0,normal,14,6,35,0.0
22-Apr-25,14:06:40,closed,0,0,normal,14,6,40,5.0
22-Apr-25,14:06:40,closed,0,0,normal,14,6,40,0.0
22-Apr-25,14:06:46,closed,0,0,normal,14,6,46,6.0
22-Apr-25,14:06:46,closed,0,0,normal,14,6,46,0.0
22-Apr-25,14:06:54,open,0,0,normal,14,6,54,8.0
22-Apr-25,14:06:54,open,0,0,normal,14,6,54,0.0
22-Apr-25,14:07:02,open,0,0,normal,14,7,2,8.0
22-Apr-25,14:07:02,open,0,0,normal,14,7,2,0.0
22-Apr-25,14:07:11,closed,0,0,normal,14,7,11,9.0
22-Apr-25,14:07:11,closed,0,0,normal,14,7,11,0.0
22-Apr-25,14:07:16,open,0,0,normal,14,7,16,5.0
22-Apr-25,14:07:16,open,0,0,normal,14,7,16,0.0
22-Apr-25,14:07:26,closed,0,0,normal,14,7,26,10.0
22-Apr-25,14:07:26,closed,0,0,normal,14,7,26,0.0
22-Apr-25,14:17:38,closed,0,0,normal,14,17,38,612.0
22-Apr-25,14:17:38,closed,0,0,normal,14,17,38,0.0
22-Apr-25,14:18:02,closed,0,0,normal,14,18,2,24.0
22-Apr-25,14:18:02,closed,0,0,normal,14,18,2,0.0
22-Apr-25,14:18:22,closed,0,0,normal,14,18,22,20.0
22-Apr-25,14:18:22,closed,0,0,normal,14,18,22,0.0
22-Apr-25,14:18:31,closed,0,0,normal,14,18,31,9.0
22-Apr-25,14:18:31,closed,0,0,normal,14,18,31,0.0
22-Apr-25,14:18:37,closed,0,0,normal,14,18,37,6.0
22-Apr-25,14:18:37,closed,0,0,normal,14,18,37,0.0
22-Apr-25,14:18:57,closed,0,0,normal,14,18,57,20.0
22-Apr-25,14:18:57,closed,0,0,normal,14,18,57,0.0
22-Apr-25,14:19:14,open,0,0,normal,14,19,14,17.0
22-Apr-25,14:19:14,open,0,0,normal,14,19,14,0.0
22-Apr-25,14:19:24,closed,0,0,normal,14,19,24,10.0
22-Apr-25,14:19:24,closed,0,0,normal,14,19,24,0.0
22-Apr-25,14:19:38,closed,0,0,normal,14,19,38,14.0
22-Apr-25,14:19:38,closed,0,0,normal,14,19,38,0.0
22-Apr-25,14:19:57,open,0,0,normal,14,19,57,19.0
22-Apr-25,14:19:57,open,0,0,normal,14,19,57,0.0
22-Apr-25,14:20:36,closed,0,0,normal,14,20,36,39.0
22-Apr-25,14:20:36,closed,0,0,normal,14,20,36,0.0
22-Apr-25,14:21:08,closed,0,0,normal,14,21,8,32.0
22-Apr-25,14:21:08,closed,0,0,normal,14,21,8,0.0
22-Apr-25,14:21:52,closed,0,0,normal,14,21,52,44.0
22-Apr-25,14:21:52,closed,0,0,normal,14,21,52,0.0
22-Apr-25,14:22:22,closed,0,0,normal,14,22,22,30.0
22-Apr-25,14:22:22,closed,0,0,normal,14,22,22,0.0
22-Apr-25,14:23:05,closed,0,0,normal,14,23,5,43.0
22-Apr-25,14:23:05,closed,0,0,normal,14,23,5,0.0
22-Apr-25,14:23:54,open,0,0,normal,14,23,54,49.0
22-Apr-25,14:23:54,open,0,0,normal,14,23,54,0.0
22-Apr-25,14:24:26,closed,0,0,normal,14,24,26,32.0
22-Apr-25,14:24:26,closed,0,0,normal,14,24,26,0.0
22-Apr-25,14:24:58,open,0,0,normal,14,24,58,32.0
22-Apr-25,14:24:58,open,0,0,normal,14,24,58,0.0
22-Apr-25,14:25:46,closed,0,0,normal,14,25,46,48.0
22-Apr-25,14:25:46,closed,0,0,normal,14,25,46,0.0
22-Apr-25,14:26:45,closed,0,0,normal,14,26,45,59.0
22-Apr-25,14:26:45,closed,0,0,normal,14,26,45,0.0
22-Apr-25,14:27:43,closed,0,0,normal,14,27,43,58.0
22-Apr-25,14:27:43,closed,0,0,normal,14,27,43,0.0
22-Apr-25,14:28:42,closed,0,0,normal,14,28,42,59.0
22-Apr-25,14:28:42,closed,0,0,normal,14,28,42,0.0
22-Apr-25,14:29:27,closed,0,0,normal,14,29,27,45.0
22-Apr-25,14:29:27,closed,0,0,normal,14,29,27,0.0
22-Apr-25,14:30:00,closed,0,0,normal,14,30,0,33.0
22-Apr-25,14:30:00,closed,0,0,normal,14,30,0,0.0
22-Apr-25,14:30:43,open,0,0,normal,14,30,43,43.0
22-Apr-25,14:30:43,open,0,0,normal,14,30,43,0.0
22-Apr-25,14:31:43,closed,0,0,normal,14,31,43,60.0
22-Apr-25,14:31:43,closed,0,0,normal,14,31,43,0.0
22-Apr-25,14:32:18,closed,0,0,normal,14,32,18,35.0
22-Apr-25,14:32:18,closed,0,0,normal,14,32,18,0.0
22-Apr-25,14:33:10,closed,0,0,normal,14,33,10,52.0
22-Apr-25,14:33:10,closed,0,0,normal,14,33,10,0.0
22-Apr-25,14:33:48,closed,0,0,normal,14,33,48,38.0
22-Apr-25,14:33:48,closed,0,0,normal,14,33,48,0.0
22-Apr-25,14:34:20,open,0,0,normal,14,34,20,32.0
22-Apr-25,14:34:20,open,0,0,normal,14,34,20,0.0
22-Apr-25,14:34:54,open,0,0,normal,14,34,54,34.0
22-Apr-25,14:34:54,open,0,0,normal,14,34,54,0.0
22-Apr-25,14:35:20,open,0,0,normal,14,35,20,26.0
22-Apr-25,14:35:20,open,0,0,normal,14,35,20,0.0
22-Apr-25,14:35:36,open,0,0,normal,14,35,36,16.0
22-Apr-25,14:35:36,open,0,0,normal,14,35,36,0.0
22-Apr-25,14:35:55,closed,0,0,normal,14,35,55,19.0
22-Apr-25,14:35:55,closed,0,0,normal,14,35,55,0.0
22-Apr-25,14:36:10,open,0,0,normal,14,36,10,15.0
22-Apr-25,14:36:10,open,0,0,normal,14,36,10,0.0
22-Apr-25,14:36:33,open,0,0,normal,14,36,33,23.0
22-Apr-25,14:36:33,open,0,0,normal,14,36,33,0.0
22-Apr-25,14:36:54,open,0,0,normal,14,36,54,21.0
22-Apr-25,14:36:54,open,0,0,normal,14,36,54,0.0
22-Apr-25,14:37:08,closed,0,0,normal,14,37,8,14.0
22-Apr-25,14:37:08,closed,0,0,normal,14,37,8,0.0
22-Apr-25,14:37:38,closed,0,0,normal,14,37,38,30.0
22-Apr-25,14:37:38,closed,0,0,normal,14,37,38,0.0
22-Apr-25,14:37:48,open,0,0,normal,14,37,48,10.0
22-Apr-25,14:37:48,open,0,0,normal,14,37,48,0.0
22-Apr-25,14:38:13,closed,0,0,normal,14,38,13,25.0
22-Apr-25,14:38:13,closed,0,0,normal,14,38,13,0.0
22-Apr-25,14:38:33,open,0,0,normal,14,38,33,20.0
22-Apr-25,14:38:33,open,0,0,normal,14,38,33,0.0
22-Apr-25,14:38:44,open,0,0,normal,14,38,44,11.0
22-Apr-25,14:38:44,open,0,0,normal,14,38,44,0.0
22-Apr-25,14:39:06,open,0,0,normal,14,39,6,22.0
22-Apr-25,14:39:06,open,0,0,normal,14,39,6,0.0
22-Apr-25,14:39:27,closed,0,0,normal,14,39,27,21.0
22-Apr-25,14:39:27,closed,0,0,normal,14,39,27,0.0
22-Apr-25,14:39:48,closed,0,0,normal,14,39,48,21.0
22-Apr-25,14:39:48,closed,0,0,normal,14,39,48,0.0
22-Apr-25,14:40:09,open,0,0,normal,14,40,9,21.0
22-Apr-25,14:40:09,open,0,0,normal,14,40,9,0.0
22-Apr-25,14:40:27,open,0,0,normal,14,40,27,18.0
22-Apr-25,14:40:27,open,0,0,normal,14,40,27,0.0
22-Apr-25,14:40:56,closed,0,0,normal,14,40,56,29.0
22-Apr-25,14:40:56,closed,0,0,normal,14,40,56,0.0
22-Apr-25,14:41:18,open,0,0,normal,14,41,18,22.0
22-Apr-25,14:41:18,open,0,0,normal,14,41,18,0.0
22-Apr-25,14:41:43,open,0,0,normal,14,41,43,25.0
22-Apr-25,14:41:43,open,0,0,normal,14,41,43,0.0
22-Apr-25,14:42:08,closed,0,0,normal,14,42,8,25.0
22-Apr-25,14:42:08,closed,0,0,normal,14,42,8,0.0
22-Apr-25,14:42:18,closed,0,0,normal,14,42,18,10.0
22-Apr-25,14:42:18,closed,0,0,normal,14,42,18,0.0
22-Apr-25,14:42:28,open,0,0,normal,14,42,28,10.0
22-Apr-25,14:42:28,open,0,0,normal,14,42,28,0.0
22-Apr-25,14:42:53,closed,0,0,normal,14,42,53,25.0
22-Apr-25,14:42:53,closed,0,0,normal,14,42,53,0.0
22-Apr-25,14:43:11,closed,0,0,normal,14,43,11,18.0
22-Apr-25,14:43:11,closed,0,0,normal,14,43,11,0.0
22-Apr-25,14:43:28,closed,0,0,normal,14,43,28,17.0
22-Apr-25,14:43:28,closed,0,0,normal,14,43,28,0.0
22-Apr-25,14:43:52,open,0,0,normal,14,43,52,24.0
22-Apr-25,14:43:52,open,0,0,normal,14,43,52,0.0
22-Apr-25,14:44:02,closed,0,0,normal,14,44,2,10.0
22-Apr-25,14:44:02,closed,0,0,normal,14,44,2,0.0
22-Apr-25,14:44:31,open,0,0,normal,14,44,31,29.0
22-Apr-25,14:44:31,open,0,0,normal,14,44,31,0.0
22-Apr-25,14:44:41,open,0,0,normal,14,44,41,10.0
22-Apr-25,14:44:41,open,0,0,normal,14,44,41,0.0
22-Apr-25,14:44:59,open,0,0,normal,14,44,59,18.0
22-Apr-25,14:44:59,open,0,0,normal,14,44,59,0.0
22-Apr-25,14:45:22,closed,0,0,normal,14,45,22,23.0
22-Apr-25,14:45:22,closed,0,0,normal,14,45,22,0.0
22-Apr-25,14:45:33,closed,0,0,normal,14,45,33,11.0
22-Apr-25,14:45:33,closed,0,0,normal,14,45,33,0.0
22-Apr-25,14:45:44,closed,0,0,normal,14,45,44,11.0
22-Apr-25,14:45:44,closed,0,0,normal,14,45,44,0.0
22-Apr-25,14:45:57,closed,0,0,normal,14,45,57,13.0
22-Apr-25,14:45:57,closed,0,0,normal,14,45,57,0.0
22-Apr-25,14:46:27,closed,0,0,normal,14,46,27,30.0
22-Apr-25,14:46:27,closed,0,0,normal,14,46,27,0.0
22-Apr-25,14:46:57,closed,0,0,normal,14,46,57,30.0
22-Apr-25,14:46:57,closed,0,0,normal,14,46,57,0.0
22-Apr-25,14:47:20,open,0,0,normal,14,47,20,23.0
