"@timestamp","alert.signature","event_type","mqtt.publish.topic","mqtt.publish.message"
"Apr 24, 2025 @ 16:53:34.146","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:53:34.146","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:52:20.110","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:52:20.110","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:51:29.087","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:51:29.087","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:50:15.052","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:50:15.052","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:49:18.027","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:49:18.027","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:48:44.013","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:48:44.013","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:47:55.994","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:47:55.994","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:46:53.968","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:46:53.968","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:45:59.948","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:45:59.948","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:44:57.923","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:44:57.923","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:43:42.894","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:43:42.894","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:42:44.864","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:42:44.864","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:41:56.838","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:41:56.838","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:40:57.811","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:40:57.811","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:40:05.787","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:40:05.787","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:39:26.769","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:39:26.769","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:38:21.739","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:38:21.739","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:37:35.718","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:37:35.718","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:36:59.701","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:36:59.701","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:36:28.685","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:36:28.685","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:35:10.651","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:35:10.651","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:34:37.633","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:34:37.633","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:33:26.601","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:33:26.601","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:32:43.578","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:32:43.578","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:31:52.555","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:31:52.555","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:30:59.530","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:30:59.530","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:30:05.505","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:30:05.505","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:29:28.487","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:29:28.486","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:28:44.465","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:28:44.465","-",mqtt,"iot/sensor/puerta",CERRADO
"Apr 24, 2025 @ 16:28:13.450","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:28:13.450","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:27:12.421","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:27:12.421","-",mqtt,"iot/sensor/puerta",ABIERTO
"Apr 24, 2025 @ 16:26:16.393","-",mqtt,"iot/sensor/puerta",ABIERTO
