date,time,temperature,label,type,delta_time
21-Apr-25,19:04:47,19.91,0,normal,999.0
21-Apr-25,19:05:18,26.05,0,normal,31.0
21-Apr-25,19:07:24,18.32,0,normal,126.0
21-Apr-25,19:08:03,23.74,0,normal,39.0
21-Apr-25,19:08:29,21.43,0,normal,26.0
21-Apr-25,19:09:06,19.03,0,normal,37.0
21-Apr-25,19:09:32,18.19,0,normal,26.0
21-Apr-25,19:10:08,20.55,0,normal,36.0
21-Apr-25,19:10:45,20.47,0,normal,37.0
21-Apr-25,19:11:25,20.67,0,normal,40.0
21-Apr-25,19:12:04,25.12,0,normal,39.0
21-Apr-25,19:12:42,19.11,0,normal,38.0
21-Apr-25,19:13:14,21.92,0,normal,32.0
21-Apr-25,19:13:50,23.99,0,normal,36.0
21-Apr-25,19:14:22,21.67,0,normal,32.0
21-Apr-25,19:15:02,18.03,0,normal,40.0
21-Apr-25,19:15:30,28.72,0,normal,28.0
21-Apr-25,19:16:01,23.94,0,normal,31.0
21-Apr-25,19:16:23,24.04,0,normal,22.0
21-Apr-25,19:16:52,29.38,0,normal,29.0
21-Apr-25,19:17:12,22.53,0,normal,20.0
21-Apr-25,19:17:48,25.04,0,normal,36.0
21-Apr-25,19:18:20,22.82,0,normal,32.0
21-Apr-25,19:18:41,25.04,0,normal,21.0
21-Apr-25,19:19:15,27.03,0,normal,34.0
21-Apr-25,19:19:37,25.45,0,normal,22.0
21-Apr-25,19:19:59,26.95,0,normal,22.0
21-Apr-25,19:20:20,19.97,0,normal,21.0
21-Apr-25,19:20:46,20.59,0,normal,26.0
21-Apr-25,19:21:26,28.92,0,normal,40.0
21-Apr-25,19:21:58,23.75,0,normal,32.0
21-Apr-25,19:22:27,26.07,0,normal,29.0
21-Apr-25,19:22:49,29.05,0,normal,22.0
21-Apr-25,19:23:09,28.14,0,normal,20.0
21-Apr-25,19:23:41,24.23,0,normal,32.0
21-Apr-25,19:24:09,22.23,0,normal,28.0
21-Apr-25,19:24:33,25.6,0,normal,24.0
21-Apr-25,19:25:03,23.7,0,normal,30.0
21-Apr-25,19:25:31,28.6,0,normal,28.0
21-Apr-25,19:26:10,20.39,0,normal,39.0
21-Apr-25,19:26:45,24.34,0,normal,35.0
21-Apr-25,19:27:23,27.33,0,normal,38.0
21-Apr-25,19:28:01,25.63,0,normal,38.0
21-Apr-25,19:28:31,25.46,0,normal,30.0
21-Apr-25,19:28:52,21.62,0,normal,21.0
21-Apr-25,19:29:25,22.09,0,normal,33.0
21-Apr-25,19:29:51,18.46,0,normal,26.0
21-Apr-25,19:30:29,28.23,0,normal,38.0
21-Apr-25,19:30:55,29.01,0,normal,26.0
21-Apr-25,19:31:20,18.11,0,normal,25.0
21-Apr-25,19:31:43,18.24,0,normal,23.0
21-Apr-25,19:32:03,18.5,0,normal,20.0
21-Apr-25,19:32:38,18.57,0,normal,35.0
21-Apr-25,19:33:12,29.8,0,normal,34.0
21-Apr-25,19:33:52,25.92,0,normal,40.0
21-Apr-25,19:34:29,20.49,0,normal,37.0
21-Apr-25,19:35:05,21.39,0,normal,36.0
21-Apr-25,19:35:28,21.81,0,normal,23.0
21-Apr-25,19:36:00,26.98,0,normal,32.0
21-Apr-25,19:36:21,26.76,0,normal,21.0
21-Apr-25,19:37:00,20.13,0,normal,39.0
21-Apr-25,19:37:30,29.69,0,normal,30.0
21-Apr-25,19:38:04,21.32,0,normal,34.0
21-Apr-25,19:38:34,22.45,0,normal,30.0
21-Apr-25,19:39:07,19.84,0,normal,33.0
21-Apr-25,19:39:38,29.54,0,normal,31.0
21-Apr-25,19:40:02,20.11,0,normal,24.0
21-Apr-25,19:40:23,28.83,0,normal,21.0
21-Apr-25,19:40:56,28.23,0,normal,33.0
21-Apr-25,19:41:29,23.14,0,normal,33.0
21-Apr-25,19:41:58,22.9,0,normal,29.0
21-Apr-25,19:42:18,25.98,0,normal,20.0
21-Apr-25,19:42:57,28.85,0,normal,39.0
21-Apr-25,19:43:28,26.04,0,normal,31.0
21-Apr-25,19:43:57,27.24,0,normal,29.0
21-Apr-25,19:44:28,26.05,0,normal,31.0
21-Apr-25,19:45:02,19.75,0,normal,34.0
21-Apr-25,19:45:30,20.79,0,normal,28.0
21-Apr-25,19:46:04,21.29,0,normal,34.0
21-Apr-25,19:46:26,23.36,0,normal,22.0
21-Apr-25,19:46:58,23.14,0,normal,32.0
21-Apr-25,19:47:21,20.22,0,normal,23.0
21-Apr-25,19:47:47,18.12,0,normal,26.0
21-Apr-25,19:48:09,19.46,0,normal,22.0
21-Apr-25,19:48:46,20.71,0,normal,37.0
21-Apr-25,19:49:15,28.47,0,normal,29.0
21-Apr-25,19:49:38,21.2,0,normal,23.0
21-Apr-25,19:50:16,21.74,0,normal,38.0
21-Apr-25,19:50:37,22.87,0,normal,21.0
21-Apr-25,19:51:00,20.24,0,normal,23.0
21-Apr-25,19:51:39,25.24,0,normal,39.0
21-Apr-25,19:52:19,25.54,0,normal,40.0
21-Apr-25,19:52:39,20.6,0,normal,20.0
21-Apr-25,19:53:18,29.65,0,normal,39.0
21-Apr-25,19:53:58,18.18,0,normal,40.0
21-Apr-25,19:54:33,20.53,0,normal,35.0
21-Apr-25,19:54:57,29.88,0,normal,24.0
21-Apr-25,19:55:26,28.59,0,normal,29.0
21-Apr-25,19:55:51,25.87,0,normal,25.0
21-Apr-25,19:56:23,27.28,0,normal,32.0
21-Apr-25,19:56:44,26.16,0,normal,21.0
21-Apr-25,19:57:18,19.56,0,normal,34.0
21-Apr-25,19:57:54,29.09,0,normal,36.0
21-Apr-25,19:58:27,22.2,0,normal,33.0
21-Apr-25,19:59:03,18.67,0,normal,36.0
21-Apr-25,19:59:35,20.95,0,normal,32.0
21-Apr-25,19:59:58,28.68,0,normal,23.0
21-Apr-25,20:00:30,25.71,0,normal,32.0
21-Apr-25,20:01:07,19.82,0,normal,37.0
21-Apr-25,20:01:34,26.75,0,normal,27.0
21-Apr-25,20:02:06,26.6,0,normal,32.0
21-Apr-25,20:02:34,26.09,0,normal,28.0
21-Apr-25,20:03:10,27.33,0,normal,36.0
21-Apr-25,20:03:38,27.01,0,normal,28.0
21-Apr-25,20:04:14,18.45,0,normal,36.0
21-Apr-25,20:04:46,21.39,0,normal,32.0
21-Apr-25,20:05:10,24.18,0,normal,24.0
21-Apr-25,20:05:37,21.0,0,normal,27.0
21-Apr-25,20:05:57,19.15,0,normal,20.0
21-Apr-25,20:06:29,22.51,0,normal,32.0
21-Apr-25,20:07:01,22.34,0,normal,32.0
21-Apr-25,20:07:27,27.39,0,normal,26.0
21-Apr-25,20:07:56,22.19,0,normal,29.0
21-Apr-25,20:08:27,24.75,0,normal,31.0
21-Apr-25,20:08:53,22.68,0,normal,26.0
21-Apr-25,20:09:15,24.87,0,normal,22.0
21-Apr-25,20:09:39,22.75,0,normal,24.0
21-Apr-25,20:10:10,19.07,0,normal,31.0
21-Apr-25,20:10:45,21.92,0,normal,35.0
21-Apr-25,20:11:17,27.4,0,normal,32.0
21-Apr-25,20:11:49,24.13,0,normal,32.0
21-Apr-25,20:12:29,26.81,0,normal,40.0
21-Apr-25,20:12:51,26.89,0,normal,22.0
21-Apr-25,20:13:12,21.31,0,normal,21.0
21-Apr-25,20:13:40,27.33,0,normal,28.0
21-Apr-25,20:14:01,29.2,0,normal,21.0
21-Apr-25,20:14:41,24.67,0,normal,40.0
21-Apr-25,20:15:09,20.48,0,normal,28.0
21-Apr-25,20:15:32,24.08,0,normal,23.0
21-Apr-25,20:16:05,25.01,0,normal,33.0
21-Apr-25,20:16:27,22.14,0,normal,22.0
21-Apr-25,20:17:04,24.41,0,normal,37.0
21-Apr-25,20:17:25,28.57,0,normal,21.0
21-Apr-25,20:18:00,22.32,0,normal,35.0
21-Apr-25,20:18:29,18.03,0,normal,29.0
21-Apr-25,20:18:59,20.9,0,normal,30.0
21-Apr-25,20:19:30,29.78,0,normal,31.0
21-Apr-25,20:20:08,23.0,0,normal,38.0
21-Apr-25,20:20:44,23.12,0,normal,36.0
21-Apr-25,20:21:24,21.01,0,normal,40.0
21-Apr-25,20:21:58,22.76,0,normal,34.0
21-Apr-25,20:22:21,23.69,0,normal,23.0
21-Apr-25,20:22:45,29.51,0,normal,24.0
21-Apr-25,20:23:06,18.89,0,normal,21.0
21-Apr-25,20:23:35,27.22,0,normal,29.0
21-Apr-25,20:23:56,19.54,0,normal,21.0
21-Apr-25,20:24:31,28.66,0,normal,35.0
21-Apr-25,20:25:10,21.69,0,normal,39.0
21-Apr-25,20:25:38,26.48,0,normal,28.0
21-Apr-25,20:26:01,27.15,0,normal,23.0
21-Apr-25,20:26:31,26.8,0,normal,30.0
21-Apr-25,20:26:53,22.09,0,normal,22.0
21-Apr-25,20:27:24,19.15,0,normal,31.0
21-Apr-25,20:28:01,21.13,0,normal,37.0
21-Apr-25,20:28:33,25.94,0,normal,32.0
21-Apr-25,20:29:01,24.94,0,normal,28.0
21-Apr-25,20:29:25,21.15,0,normal,24.0
21-Apr-25,20:29:59,29.54,0,normal,34.0
21-Apr-25,20:30:27,27.15,0,normal,28.0
21-Apr-25,20:30:58,28.87,0,normal,31.0
21-Apr-25,20:31:38,19.66,0,normal,40.0
21-Apr-25,20:32:02,27.78,0,normal,24.0
21-Apr-25,20:32:34,18.32,0,normal,32.0
21-Apr-25,20:33:08,26.25,0,normal,34.0
21-Apr-25,20:33:31,23.3,0,normal,23.0
21-Apr-25,20:34:00,27.26,0,normal,29.0
21-Apr-25,20:34:21,22.03,0,normal,21.0
21-Apr-25,20:34:48,23.0,0,normal,27.0
21-Apr-25,20:35:11,27.9,0,normal,23.0
21-Apr-25,20:35:51,26.1,0,normal,40.0
21-Apr-25,20:36:20,27.77,0,normal,29.0
21-Apr-25,20:36:45,27.89,0,normal,25.0
21-Apr-25,20:37:05,23.39,0,normal,20.0
21-Apr-25,20:37:28,29.64,0,normal,23.0
21-Apr-25,20:38:01,27.85,0,normal,33.0
21-Apr-25,20:38:30,18.23,0,normal,29.0
21-Apr-25,20:39:09,28.35,0,normal,39.0
21-Apr-25,20:39:47,25.24,0,normal,38.0
21-Apr-25,20:40:11,26.06,0,normal,24.0
21-Apr-25,20:40:43,26.69,0,normal,32.0
21-Apr-25,20:41:21,20.5,0,normal,38.0
21-Apr-25,20:42:01,26.49,0,normal,40.0
21-Apr-25,20:42:26,24.98,0,normal,25.0
21-Apr-25,20:42:46,25.42,0,normal,20.0
21-Apr-25,20:43:08,23.72,0,normal,22.0
21-Apr-25,20:43:35,18.2,0,normal,27.0
21-Apr-25,20:43:59,22.95,0,normal,24.0
21-Apr-25,20:44:26,24.34,0,normal,27.0
21-Apr-25,20:44:55,20.9,0,normal,29.0
21-Apr-25,20:45:28,28.82,0,normal,33.0
21-Apr-25,20:45:51,25.76,0,normal,23.0
21-Apr-25,20:46:11,26.3,0,normal,20.0
21-Apr-25,20:46:38,18.41,0,normal,27.0
21-Apr-25,20:47:09,20.12,0,normal,31.0
21-Apr-25,20:47:33,24.04,0,normal,24.0
21-Apr-25,20:48:04,18.54,0,normal,31.0
21-Apr-25,20:48:24,26.27,0,normal,20.0
21-Apr-25,20:49:01,22.63,0,normal,37.0
21-Apr-25,20:49:35,24.93,0,normal,34.0
21-Apr-25,20:49:58,29.76,0,normal,23.0
21-Apr-25,20:50:23,21.44,0,normal,25.0
21-Apr-25,20:50:54,19.9,0,normal,31.0
21-Apr-25,20:51:28,19.2,0,normal,34.0
21-Apr-25,20:51:52,22.11,0,normal,24.0
21-Apr-25,20:52:28,18.73,0,normal,36.0
21-Apr-25,20:52:54,28.66,0,normal,26.0
21-Apr-25,20:53:16,22.97,0,normal,22.0
21-Apr-25,20:53:43,29.96,0,normal,27.0
21-Apr-25,20:54:16,26.39,0,normal,33.0
21-Apr-25,20:54:55,20.64,0,normal,39.0
21-Apr-25,20:55:22,23.35,0,normal,27.0
21-Apr-25,20:55:52,28.38,0,normal,30.0
21-Apr-25,20:56:27,25.2,0,normal,35.0
21-Apr-25,20:57:01,25.96,0,normal,34.0
21-Apr-25,20:57:21,24.5,0,normal,20.0
21-Apr-25,20:57:47,20.74,0,normal,26.0
21-Apr-25,20:58:15,27.69,0,normal,28.0
21-Apr-25,20:58:47,26.74,0,normal,32.0
21-Apr-25,20:59:20,21.84,0,normal,33.0
21-Apr-25,20:59:42,25.08,0,normal,22.0
21-Apr-25,21:00:06,26.66,0,normal,24.0
21-Apr-25,21:00:41,19.19,0,normal,35.0
21-Apr-25,21:01:05,27.53,0,normal,24.0
21-Apr-25,21:01:35,23.54,0,normal,30.0
21-Apr-25,21:02:14,29.87,0,normal,39.0
21-Apr-25,21:02:45,27.26,0,normal,31.0
21-Apr-25,21:03:14,19.84,0,normal,29.0
21-Apr-25,21:03:43,26.8,0,normal,29.0
21-Apr-25,21:04:03,27.47,0,normal,20.0
21-Apr-25,21:04:37,28.68,0,normal,34.0
21-Apr-25,21:05:08,28.97,0,normal,31.0
21-Apr-25,21:05:30,29.36,0,normal,22.0
21-Apr-25,21:05:50,25.53,0,normal,20.0
21-Apr-25,21:06:27,28.27,0,normal,37.0
21-Apr-25,21:06:59,25.73,0,normal,32.0
21-Apr-25,21:07:31,25.84,0,normal,32.0
21-Apr-25,21:07:58,24.83,0,normal,27.0
21-Apr-25,21:08:33,19.8,0,normal,35.0
21-Apr-25,21:08:58,29.95,0,normal,25.0
21-Apr-25,21:09:30,23.21,0,normal,32.0
21-Apr-25,21:10:01,23.28,0,normal,31.0
21-Apr-25,21:10:41,19.15,0,normal,40.0
21-Apr-25,21:11:13,22.83,0,normal,32.0
21-Apr-25,21:11:39,29.68,0,normal,26.0
21-Apr-25,21:12:13,21.43,0,normal,34.0
21-Apr-25,21:12:34,19.17,0,normal,21.0
21-Apr-25,21:13:08,29.28,0,normal,34.0
21-Apr-25,21:13:31,19.47,0,normal,23.0
21-Apr-25,21:13:58,25.9,0,normal,27.0
21-Apr-25,21:14:24,24.67,0,normal,26.0
21-Apr-25,21:15:01,21.64,0,normal,37.0
21-Apr-25,21:15:26,27.44,0,normal,25.0
21-Apr-25,21:15:53,18.05,0,normal,27.0
21-Apr-25,21:16:17,28.09,0,normal,24.0
21-Apr-25,21:16:55,21.66,0,normal,38.0
21-Apr-25,21:17:16,29.41,0,normal,21.0
21-Apr-25,21:17:44,21.48,0,normal,28.0
21-Apr-25,21:18:22,29.38,0,normal,38.0
21-Apr-25,21:18:43,23.06,0,normal,21.0
21-Apr-25,21:19:13,19.44,0,normal,30.0
21-Apr-25,21:19:36,22.09,0,normal,23.0
21-Apr-25,21:20:14,26.7,0,normal,38.0
21-Apr-25,21:20:50,21.72,0,normal,36.0
21-Apr-25,21:21:25,27.63,0,normal,35.0
21-Apr-25,21:21:46,19.81,0,normal,21.0
21-Apr-25,21:22:24,24.08,0,normal,38.0
21-Apr-25,21:22:50,26.62,0,normal,26.0
21-Apr-25,21:23:14,21.44,0,normal,24.0
21-Apr-25,21:23:37,26.49,0,normal,23.0
21-Apr-25,21:24:02,20.24,0,normal,25.0
21-Apr-25,21:24:25,28.31,0,normal,23.0
21-Apr-25,21:25:04,23.33,0,normal,39.0
21-Apr-25,21:25:34,22.63,0,normal,30.0
21-Apr-25,21:26:07,20.03,0,normal,33.0
21-Apr-25,21:26:36,23.51,0,normal,29.0
21-Apr-25,21:26:57,18.52,0,normal,21.0
21-Apr-25,21:27:17,22.35,0,normal,20.0
21-Apr-25,21:27:55,22.31,0,normal,38.0
21-Apr-25,21:28:30,24.52,0,normal,35.0
21-Apr-25,21:28:56,26.25,0,normal,26.0
21-Apr-25,21:29:18,28.79,0,normal,22.0
21-Apr-25,21:29:52,21.68,0,normal,34.0
21-Apr-25,21:30:15,19.36,0,normal,23.0
21-Apr-25,21:30:39,19.91,0,normal,24.0
21-Apr-25,21:31:05,26.35,0,normal,26.0
21-Apr-25,21:31:30,22.06,0,normal,25.0
21-Apr-25,21:31:53,27.94,0,normal,23.0
21-Apr-25,21:32:22,22.29,0,normal,29.0
21-Apr-25,21:32:46,20.6,0,normal,24.0
21-Apr-25,21:33:26,27.46,0,normal,40.0
21-Apr-25,21:33:58,29.06,0,normal,32.0
21-Apr-25,21:34:19,28.15,0,normal,21.0
21-Apr-25,21:34:43,25.92,0,normal,24.0
21-Apr-25,21:35:03,27.46,0,normal,20.0
21-Apr-25,21:35:33,22.34,0,normal,30.0
21-Apr-25,21:36:04,18.23,0,normal,31.0
21-Apr-25,21:36:39,24.15,0,normal,35.0
21-Apr-25,21:37:15,20.08,0,normal,36.0
21-Apr-25,21:37:38,18.67,0,normal,23.0
21-Apr-25,21:38:16,19.28,0,normal,38.0
21-Apr-25,21:38:36,24.01,0,normal,20.0
21-Apr-25,21:39:03,25.29,0,normal,27.0
21-Apr-25,21:39:27,27.09,0,normal,24.0
21-Apr-25,21:39:51,20.79,0,normal,24.0
21-Apr-25,21:40:17,28.51,0,normal,26.0
21-Apr-25,21:40:39,26.43,0,normal,22.0
21-Apr-25,21:41:00,24.5,0,normal,21.0
21-Apr-25,21:41:22,26.09,0,normal,22.0
21-Apr-25,21:42:00,27.17,0,normal,38.0
21-Apr-25,21:42:35,18.82,0,normal,35.0
21-Apr-25,21:43:03,19.08,0,normal,28.0
21-Apr-25,21:43:27,20.76,0,normal,24.0
21-Apr-25,21:44:02,20.26,0,normal,35.0
21-Apr-25,21:44:33,18.0,0,normal,31.0
21-Apr-25,21:45:02,25.68,0,normal,29.0
21-Apr-25,21:45:23,23.7,0,normal,21.0
21-Apr-25,21:45:51,21.73,0,normal,28.0
21-Apr-25,21:50:24,28.59,0,normal,273.0
21-Apr-25,21:50:49,19.38,0,normal,25.0
21-Apr-25,21:51:23,22.17,0,normal,34.0
21-Apr-25,21:52:00,21.13,0,normal,37.0
21-Apr-25,21:52:35,20.0,0,normal,35.0
21-Apr-25,21:53:00,26.65,0,normal,25.0
21-Apr-25,21:53:28,22.43,0,normal,28.0
21-Apr-25,21:53:51,22.19,0,normal,23.0
21-Apr-25,21:54:14,25.5,0,normal,23.0
21-Apr-25,21:54:39,19.08,0,normal,25.0
21-Apr-25,21:55:06,22.03,0,normal,27.0
21-Apr-25,21:55:41,25.05,0,normal,35.0
21-Apr-25,21:56:01,23.52,0,normal,20.0
21-Apr-25,21:56:33,27.3,0,normal,32.0
21-Apr-25,21:56:59,19.2,0,normal,26.0
21-Apr-25,21:57:28,21.08,0,normal,29.0
21-Apr-25,21:57:54,24.24,0,normal,26.0
21-Apr-25,21:58:32,25.5,0,normal,38.0
21-Apr-25,21:58:59,24.39,0,normal,27.0
21-Apr-25,21:59:30,25.73,0,normal,31.0
21-Apr-25,21:59:58,23.44,0,normal,28.0
21-Apr-25,22:00:35,29.5,0,normal,37.0
21-Apr-25,22:00:55,24.79,0,normal,20.0
21-Apr-25,22:01:21,29.22,0,normal,26.0
21-Apr-25,22:01:51,22.92,0,normal,30.0
21-Apr-25,22:02:17,23.21,0,normal,26.0
21-Apr-25,22:02:55,21.27,0,normal,38.0
21-Apr-25,22:03:18,28.0,0,normal,23.0
21-Apr-25,22:03:47,29.53,0,normal,29.0
21-Apr-25,22:04:19,18.72,0,normal,32.0
21-Apr-25,22:04:59,19.41,0,normal,40.0
21-Apr-25,22:05:30,27.57,0,normal,31.0
21-Apr-25,22:06:03,19.03,0,normal,33.0
21-Apr-25,22:06:25,29.07,0,normal,22.0
21-Apr-25,22:06:48,20.42,0,normal,23.0
21-Apr-25,22:07:14,27.01,0,normal,26.0
21-Apr-25,22:07:49,18.48,0,normal,35.0
21-Apr-25,22:08:17,23.16,0,normal,28.0
21-Apr-25,22:08:51,27.83,0,normal,34.0
21-Apr-25,22:09:20,25.54,0,normal,29.0
21-Apr-25,22:09:45,22.86,0,normal,25.0
21-Apr-25,22:10:17,29.42,0,normal,32.0
21-Apr-25,22:10:45,21.07,0,normal,28.0
21-Apr-25,22:11:06,25.99,0,normal,21.0
21-Apr-25,22:11:45,27.24,0,normal,39.0
21-Apr-25,22:12:12,22.58,0,normal,27.0
21-Apr-25,22:12:35,27.9,0,normal,23.0
21-Apr-25,22:12:56,25.1,0,normal,21.0
21-Apr-25,22:13:21,18.82,0,normal,25.0
21-Apr-25,22:13:56,22.65,0,normal,35.0
21-Apr-25,22:14:34,25.85,0,normal,38.0
21-Apr-25,22:15:12,19.06,0,normal,38.0
21-Apr-25,22:15:47,26.96,0,normal,35.0
21-Apr-25,22:16:12,23.77,0,normal,25.0
21-Apr-25,22:16:49,21.01,0,normal,37.0
21-Apr-25,22:17:22,26.99,0,normal,33.0
21-Apr-25,22:17:50,18.06,0,normal,28.0
21-Apr-25,22:18:19,25.32,0,normal,29.0
21-Apr-25,22:18:56,23.02,0,normal,37.0
21-Apr-25,22:19:26,21.26,0,normal,30.0
21-Apr-25,22:19:54,28.81,0,normal,28.0
21-Apr-25,22:20:32,18.97,0,normal,38.0
21-Apr-25,22:21:04,21.56,0,normal,32.0
21-Apr-25,22:21:40,22.03,0,normal,36.0
21-Apr-25,22:22:03,29.42,0,normal,23.0
21-Apr-25,22:22:29,18.26,0,normal,26.0
21-Apr-25,22:22:51,18.89,0,normal,22.0
21-Apr-25,22:23:13,20.65,0,normal,22.0
21-Apr-25,22:23:51,21.3,0,normal,38.0
21-Apr-25,22:24:24,26.86,0,normal,33.0
21-Apr-25,22:25:03,24.27,0,normal,39.0
21-Apr-25,22:25:26,19.49,0,normal,23.0
21-Apr-25,22:25:50,18.0,0,normal,24.0
21-Apr-25,22:26:12,25.06,0,normal,22.0
21-Apr-25,22:26:33,25.42,0,normal,21.0
21-Apr-25,22:26:56,27.93,0,normal,23.0
21-Apr-25,22:27:34,20.6,0,normal,38.0
21-Apr-25,22:27:57,27.24,0,normal,23.0
21-Apr-25,22:28:17,20.84,0,normal,20.0
21-Apr-25,22:28:44,24.69,0,normal,27.0
21-Apr-25,22:29:06,26.61,0,normal,22.0
21-Apr-25,22:29:28,20.13,0,normal,22.0
21-Apr-25,22:29:50,22.53,0,normal,22.0
21-Apr-25,22:30:16,27.57,0,normal,26.0
21-Apr-25,22:30:46,20.02,0,normal,30.0
21-Apr-25,22:31:12,25.94,0,normal,26.0
21-Apr-25,22:31:34,27.39,0,normal,22.0
21-Apr-25,22:32:03,27.33,0,normal,29.0
21-Apr-25,22:32:42,29.87,0,normal,39.0
21-Apr-25,22:33:16,19.39,0,normal,34.0
21-Apr-25,22:33:41,25.66,0,normal,25.0
21-Apr-25,22:34:05,28.81,0,normal,24.0
21-Apr-25,22:34:37,26.17,0,normal,32.0
21-Apr-25,22:35:07,19.12,0,normal,30.0
21-Apr-25,22:35:39,29.11,0,normal,32.0
21-Apr-25,22:35:59,23.22,0,normal,20.0
21-Apr-25,22:36:21,19.02,0,normal,22.0
21-Apr-25,22:36:51,24.65,0,normal,30.0
21-Apr-25,22:37:15,20.96,0,normal,24.0
21-Apr-25,22:37:52,19.82,0,normal,37.0
21-Apr-25,22:38:24,26.38,0,normal,32.0
21-Apr-25,22:38:46,28.33,0,normal,22.0
21-Apr-25,22:39:17,27.51,0,normal,31.0
21-Apr-25,22:39:49,29.89,0,normal,32.0
21-Apr-25,22:40:26,19.31,0,normal,37.0
21-Apr-25,22:40:54,19.5,0,normal,28.0
21-Apr-25,22:41:19,29.07,0,normal,25.0
21-Apr-25,22:41:50,23.87,0,normal,31.0
21-Apr-25,22:42:25,28.58,0,normal,35.0
21-Apr-25,22:42:55,23.89,0,normal,30.0
21-Apr-25,22:43:31,24.99,0,normal,36.0
21-Apr-25,22:43:58,24.88,0,normal,27.0
21-Apr-25,22:44:37,21.36,0,normal,39.0
21-Apr-25,22:45:06,22.27,0,normal,29.0
21-Apr-25,22:45:30,28.23,0,normal,24.0
21-Apr-25,22:45:57,24.81,0,normal,27.0
21-Apr-25,22:46:35,20.71,0,normal,38.0
21-Apr-25,22:47:14,22.75,0,normal,39.0
21-Apr-25,22:47:40,21.88,0,normal,26.0
21-Apr-25,22:48:20,29.36,0,normal,40.0
21-Apr-25,22:48:56,22.76,0,normal,36.0
21-Apr-25,22:49:23,18.07,0,normal,27.0
21-Apr-25,22:49:57,29.09,0,normal,34.0
21-Apr-25,22:50:22,28.05,0,normal,25.0
21-Apr-25,22:50:46,25.43,0,normal,24.0
21-Apr-25,22:51:22,28.72,0,normal,36.0
21-Apr-25,22:51:57,25.92,0,normal,35.0
21-Apr-25,22:52:17,26.58,0,normal,20.0
21-Apr-25,22:52:52,22.95,0,normal,35.0
21-Apr-25,22:53:30,18.67,0,normal,38.0
21-Apr-25,22:54:01,28.5,0,normal,31.0
