"@timestamp","alert.signature","event_type","mqtt.publish.topic","mqtt.publish.message","src_ip","mqtt.connect.client_id"
"Apr 28, 2025 @ 20:57:01.154","-",mqtt,"iot/sensor/temperatura","24.89","192.168.1.2","-"
"Apr 28, 2025 @ 20:56:41.138","-",mqtt,"iot/sensor/temperatura","25.34","192.168.1.2","-"
"Apr 28, 2025 @ 20:56:01.119","-",mqtt,"iot/sensor/temperatura","23.6","192.168.1.2","-"
"Apr 28, 2025 @ 20:55:41.107","-",mqtt,"iot/sensor/temperatura","21.36","192.168.1.2","-"
"Apr 28, 2025 @ 20:55:05.088","-",mqtt,"iot/sensor/temperatura","26.34","192.168.1.2","-"
"Apr 28, 2025 @ 20:54:36.073","-",mqtt,"iot/sensor/temperatura","25.45","192.168.1.2","-"
"Apr 28, 2025 @ 20:53:58.053","-",mqtt,"iot/sensor/temperatura","19.78","192.168.1.2","-"
"Apr 28, 2025 @ 20:53:18.031","-",mqtt,"iot/sensor/temperatura","27.43","192.168.1.2","-"
"Apr 28, 2025 @ 20:52:56.019","-",mqtt,"iot/sensor/temperatura","20.5","192.168.1.2","-"
"Apr 28, 2025 @ 20:52:26.003","-",mqtt,"iot/sensor/temperatura","29.61","192.168.1.2","-"
"Apr 28, 2025 @ 20:51:55.988","-",mqtt,"iot/sensor/temperatura","24.97","192.168.1.2","-"
"Apr 28, 2025 @ 20:51:17.966","-",mqtt,"iot/sensor/temperatura","18.68","192.168.1.2","-"
"Apr 28, 2025 @ 20:50:46.952","-",mqtt,"iot/sensor/temperatura","18.88","192.168.1.2","-"
"Apr 28, 2025 @ 20:50:24.940","-",mqtt,"iot/sensor/temperatura","26.26","192.168.1.2","-"
"Apr 28, 2025 @ 20:49:54.925","-",mqtt,"iot/sensor/temperatura","19.71","192.168.1.2","-"
"Apr 28, 2025 @ 20:49:22.910","-",mqtt,"iot/sensor/temperatura","21.33","192.168.1.2","-"
"Apr 28, 2025 @ 20:48:53.894","-",mqtt,"iot/sensor/temperatura","20.38","192.168.1.2","-"
"Apr 28, 2025 @ 20:48:13.873","-",mqtt,"iot/sensor/temperatura","24.17","192.168.1.2","-"
"Apr 28, 2025 @ 20:47:38.855","-",mqtt,"iot/sensor/temperatura","21.28","192.168.1.2","-"
"Apr 28, 2025 @ 20:47:07.839","-",mqtt,"iot/sensor/temperatura","20.67","192.168.1.2","-"
